    12.6500   -4.016090E-02  4.109203E-02  6.104777E+01
    12.7000   -3.195566E-02  3.228810E-02  6.140468E+01
    12.7500   -2.045177E-02  2.350576E-02  6.177650E+01
    12.8000   -8.941717E-03  1.490144E-02  6.218828E+01
    12.8500   -3.512567E-04  6.810564E-03  6.278025E+01
    12.9000    3.335262E-03  3.652759E-03  6.482267E+01
    12.9500    1.426231E-03  1.022149E-02  6.583346E+01
    13.0000   -5.408407E-03  1.721904E-02  6.629295E+01
    13.0500   -1.544117E-02  2.377645E-02  6.668028E+01
    13.1000   -2.607467E-02  2.972970E-02  6.704315E+01
    13.1500   -3.460655E-02  3.499527E-02  6.739505E+01
    13.2000   -3.875321E-02  3.951501E-02  6.774092E+01
    13.2500   -3.712307E-02  4.324733E-02  6.808292E+01
    13.3000   -2.948985E-02  4.616501E-02  6.842211E+01
    13.3500   -1.681794E-02  4.825438E-02  6.875904E+01
    13.4000   -1.044457E-03  4.951493E-02  6.909394E+01
    13.4500    1.532757E-02  4.995892E-02  6.942687E+01
    13.5000    2.973414E-02  4.961089E-02  6.975772E+01
    13.5500    4.004619E-02  4.850717E-02  7.008625E+01
    13.6000    4.495603E-02  4.669518E-02  7.041205E+01
    13.6500    4.418054E-02  4.423287E-02  7.073449E+01
    13.7000    3.844872E-02  4.118809E-02  7.105260E+01
    13.7500    2.928730E-02  3.763829E-02  7.136496E+01
    13.8000    1.865914E-02  3.367088E-02  7.166927E+01
    13.8500    8.537395E-03  2.938496E-02  7.196184E+01
    13.9000    5.076859E-04  2.489648E-02  7.223624E+01
    13.9500   -4.520051E-03  2.035164E-02  7.248060E+01
    14.0000   -6.435426E-03  1.596279E-02  7.267159E+01
    14.0500   -5.864878E-03  1.214289E-02  7.276070E+01
    14.1000   -3.976164E-03  9.623364E-03  7.268257E+01
    14.1500   -2.161032E-03  9.437176E-03  7.248767E+01
    14.2000   -1.675378E-03  1.150579E-02  7.240276E+01
    14.2500   -3.330057E-03  1.467686E-02  7.248552E+01
    14.3000   -7.297003E-03  1.813350E-02  7.267077E+01
    14.3500   -1.307038E-02  2.149104E-02  7.291039E+01
    14.4000   -1.958679E-02  2.455804E-02  7.317989E+01
    14.4500   -2.547310E-02  2.722481E-02  7.346675E+01
    14.5000   -2.936299E-02  2.942195E-02  7.376411E+01
    14.5500   -3.020949E-02  3.110435E-02  7.406788E+01
    14.6000   -2.752357E-02  3.224443E-02  7.437538E+01
    14.6500   -2.148696E-02  3.282896E-02  7.468469E+01
    14.7000   -1.291641E-02  3.285766E-02  7.499422E+01
    14.7500   -3.090381E-03  3.234234E-02  7.530253E+01
    14.8000    6.520822E-03  3.130675E-02  7.560805E+01
    14.8500    1.455951E-02  2.978672E-02  7.590893E+01
    14.9000    2.005167E-02  2.783109E-02  7.620271E+01
    14.9500    2.258527E-02  2.550386E-02  7.648593E+01
    15.0000    2.235854E-02  2.288876E-02  7.675336E+01
    15.0500    2.016863E-02  2.017767E-02  7.699896E+01
    15.1000    1.692457E-02  1.742273E-02  7.720873E+01
    15.1500    1.371804E-02  1.486310E-02  7.736412E+01
    15.2000    1.144124E-02  1.286999E-02  7.744469E+01
    15.2500    1.056746E-02  1.193234E-02  7.745200E+01
    15.3000    1.103689E-02  1.239958E-02  7.744225E+01
    15.3500    1.227461E-02  1.414737E-02  7.748941E+01
    15.4000    1.333759E-02  1.672619E-02  7.761683E+01
    15.4500    1.315809E-02  1.971556E-02  7.780911E+01
    15.5000    1.082776E-02  2.283035E-02  7.804568E+01
    15.5500    5.857133E-03  2.588671E-02  7.831158E+01
    15.6000   -1.650856E-03  2.876034E-02  7.859725E+01
    15.6500   -1.095649E-02  3.136199E-02  7.889670E+01
    15.7000   -2.078309E-02  3.362473E-02  7.920613E+01
    15.7500   -2.954444E-02  3.549755E-02  7.952305E+01
    15.8000   -3.565470E-02  3.694211E-02  7.984583E+01
    15.8500   -3.785624E-02  3.793093E-02  8.017338E+01
    15.9000   -3.549563E-02  3.844645E-02  8.050496E+01
    15.9500   -2.868723E-02  3.848036E-02  8.084012E+01
    16.0000   -1.832689E-02  3.803322E-02  8.117863E+01
    16.0500   -5.977728E-03  3.717116E-02  8.151989E+01
    16.1000    6.528765E-03  3.585884E-02  8.186450E+01
    16.1500    1.728972E-02  3.411868E-02  8.221282E+01
    16.2000    2.473238E-02  3.198057E-02  8.256553E+01
    16.2500    2.790535E-02  2.948181E-02  8.292371E+01
    16.3000    2.664932E-02  2.666750E-02  8.328913E+01
    16.3500    2.161278E-02  2.359163E-02  8.366471E+01
    16.4000    1.410958E-02  2.032016E-02  8.405547E+01
    16.4500    5.847364E-03  1.693854E-02  8.447054E+01
    16.5000   -1.418119E-03  1.357131E-02  8.492769E+01
    16.5500   -6.233010E-03  1.043563E-02  8.546311E+01
    16.6000   -7.729320E-03  7.979593E-03  8.614268E+01
    16.6500   -5.786575E-03  7.028044E-03  8.699730E+01
    16.7000   -1.039983E-03  8.078498E-03  8.783550E+01
    16.7500    5.264581E-03  1.043458E-02  8.849343E+01
    16.8000    1.153755E-02  1.328270E-02  8.901699E+01
