# comment: None given                          Feff8L (EXAFS)       0.1      
# Source:
# Structure Summary:  Ni1
# Reduced formula:  Ni
# space group: (Fm-3m), space number:  (225)
# abc:  2.457299   2.457299   2.457299
# angles: 60.000000  60.000000  60.000000
# sites: 1
# POT  Non-SCF, core-hole, AFOLP (folp(0)= 1.150)
# Abs   Z=28 Rmt= 1.308 Rnm= 1.345 K  shell
# Pot 1 Z=28 Rmt= 1.325 Rnm= 1.366
# Gam_ch=1.576E+00 H-L exch
# Mu=-1.136E+01 kf=2.075E+00 Vint=-2.777E+01 Rs_int= 1.747
# PATH  Rmax= 4.964,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
#  S02=1.000                                        Global_sig2= 0.00000
#  Curved wave amplitude ratio filter   4.000%
#     file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
#           1       0.00000    100.00     12.00     2   2.4573
#           2       0.00000     22.76      6.00     2   3.4752
#           3       0.00000     10.56     48.00     3   3.6859
#           4       0.00000      9.47     48.00     3   4.1949
#           5       0.00000     55.39     24.00     2   4.2562
#           6       0.00000     11.03     48.00     3   4.5854
#           7       0.00000     22.13     96.00     3   4.5854
#           8       0.00000     19.10     12.00     2   4.9146
#           9       0.00000      8.56     12.00     3   4.9146
#          10       0.00000     49.90     24.00     3   4.9146
#          11       0.00000     10.29     12.00     4   4.9146
#          12       0.00000      4.04     12.00     4   4.9146
#          14       0.00000     40.97     12.00     4   4.9146
#    13/  15 paths used
#  xsedge+50, used to normalize mu           2.6776E-04
#  -----------------------------------------------------------------------
#  omega    e    k    mu    mu0     chi     @#
    8464.285    110.267   5.650  8.49182E-01  1.00064E+00 -1.49172E-01
    8466.447    112.429   5.700  8.67788E-01  9.99968E-01 -1.30273E-01
    8468.628    114.611   5.750  8.90751E-01  9.99300E-01 -1.07053E-01
    8470.828    116.811   5.800  9.14301E-01  9.98632E-01 -8.32236E-02
    8473.048    119.030   5.850  9.35162E-01  9.97919E-01 -6.19805E-02
    8475.286    121.269   5.900  9.50723E-01  9.97206E-01 -4.59434E-02
    8477.544    123.526   5.950  9.60235E-01  9.96493E-01 -3.58644E-02
    8479.820    125.802   6.000  9.64717E-01  9.95780E-01 -3.07502E-02
    8482.116    128.098   6.050  9.66682E-01  9.95043E-01 -2.80970E-02
    8484.430    130.413   6.100  9.70095E-01  9.94306E-01 -2.40053E-02
    8486.764    132.746   6.150  9.79029E-01  9.93570E-01 -1.44278E-02
    8489.116    135.099   6.200  9.96820E-01  9.92833E-01  3.95940E-03
    8491.488    137.471   6.250  1.02518E+00  9.92096E-01  3.28797E-02
    8493.879    139.861   6.300  1.06357E+00  9.91359E-01  7.18238E-02
    8496.289    142.271   6.350  1.10898E+00  9.90622E-01  1.17806E-01
    8498.718    144.700   6.400  1.15612E+00  9.89886E-01  1.65591E-01
    8501.165    147.148   6.450  1.19817E+00  9.89149E-01  2.08379E-01
    8503.632    149.615   6.500  1.22782E+00  9.88412E-01  2.38866E-01
    8506.118    152.101   6.550  1.23793E+00  9.87738E-01  2.49823E-01
    8508.624    154.606   6.600  1.22407E+00  9.87064E-01  2.36846E-01
    8511.148    157.130   6.650  1.18504E+00  9.86391E-01  1.98672E-01
    8513.691    159.673   6.700  1.12330E+00  9.85717E-01  1.37712E-01
    8516.253    162.235   6.750  1.04486E+00  9.85043E-01  5.99227E-02
    8518.834    164.817   6.800  9.58510E-01  9.84370E-01 -2.59248E-02
    8521.435    167.417   6.850  8.74556E-01  9.83696E-01 -1.09504E-01
    8524.054    170.036   6.900  8.03269E-01  9.83022E-01 -1.80499E-01
    8526.692    172.675   6.950  7.53264E-01  9.82348E-01 -2.30222E-01
    8529.350    175.332   7.000  7.30126E-01  9.81675E-01 -2.53001E-01
    8532.026    178.009   7.050  7.36031E-01  9.80975E-01 -2.46599E-01
    8534.722    180.704   7.100  7.68039E-01  9.80276E-01 -2.13880E-01
    8537.436    183.419   7.150  8.19572E-01  9.79577E-01 -1.61401E-01
    8540.170    186.153   7.200  8.81441E-01  9.78877E-01 -9.83829E-02
    8542.923    188.905   7.250  9.43433E-01  9.78178E-01 -3.51171E-02
    8545.695    191.677   7.300  9.96041E-01  9.77478E-01  1.87797E-02
    8548.485    194.468   7.350  1.03204E+00  9.76779E-01  5.59634E-02
    8551.295    197.278   7.400  1.04763E+00  9.76080E-01  7.25297E-02
    8554.124    200.107   7.450  1.04294E+00  9.75380E-01  6.85517E-02
    8556.972    202.955   7.500  1.02184E+00  9.74681E-01  4.78992E-02
    8559.839    205.822   7.550  9.90861E-01  9.73785E-01  1.73652E-02
    8562.725    208.708   7.600  9.58728E-01  9.72890E-01 -1.44205E-02
    8565.630    211.613   7.650  9.33682E-01  9.71994E-01 -3.90621E-02
    8568.555    214.537   7.700  9.22242E-01  9.71099E-01 -4.98766E-02
    8571.498    217.480   7.750  9.28014E-01  9.70203E-01 -4.31252E-02
    8574.460    220.442   7.800  9.51068E-01  9.69308E-01 -1.86687E-02
    8577.441    223.424   7.850  9.87986E-01  9.68412E-01  2.00590E-02
    8580.442    226.424   7.900  1.03256E+00  9.67517E-01  6.67362E-02
    8583.461    229.444   7.950  1.07695E+00  9.66621E-01  1.13355E-01
    8586.500    232.482   8.000  1.11319E+00  9.65726E-01  1.51704E-01
    8589.557    235.539   8.050  1.13414E+00  9.64662E-01  1.74617E-01
    8592.634    238.616   8.100  1.13586E+00  9.63598E-01  1.77751E-01
    8595.729    241.712   8.150  1.11737E+00  9.62534E-01  1.60008E-01
    8598.844    244.826   8.200  1.08093E+00  9.61470E-01  1.23638E-01
    8601.978    247.960   8.250  1.03153E+00  9.60406E-01  7.37282E-02
    8605.130    251.113   8.300  9.75923E-01  9.59342E-01  1.72131E-02
    8608.302    254.285   8.350  9.21358E-01  9.58278E-01 -3.83877E-02
    8611.493    257.475   8.400  8.74384E-01  9.57214E-01 -8.62547E-02
    8614.703    260.685   8.450  8.39807E-01  9.56151E-01 -1.21340E-01
    8617.932    263.914   8.500  8.20063E-01  9.55087E-01 -1.41039E-01
    8621.180    267.162   8.550  8.15071E-01  9.54002E-01 -1.45324E-01
    8624.447    270.429   8.600  8.22506E-01  9.52918E-01 -1.36603E-01
    8627.733    273.716   8.650  8.38564E-01  9.51834E-01 -1.18815E-01
    8631.038    277.021   8.700  8.58884E-01  9.50750E-01 -9.64983E-02
    8634.362    280.345   8.750  8.79472E-01  9.49666E-01 -7.38371E-02
    8637.706    283.688   8.800  8.97431E-01  9.48582E-01 -5.38814E-02
    8641.068    287.050   8.850  9.11374E-01  9.47497E-01 -3.81054E-02
    8644.449    290.432   8.900  9.21462E-01  9.46413E-01 -2.63578E-02
    8647.850    293.832   8.950  9.29082E-01  9.45329E-01 -1.71867E-02
    8651.269    297.252   9.000  9.36281E-01  9.44245E-01 -8.43664E-03
    8654.708    300.690   9.050  9.45229E-01  9.43256E-01  2.09277E-03
    8658.165    304.148   9.100  9.57268E-01  9.42267E-01  1.59258E-02
    8661.642    307.624   9.150  9.72624E-01  9.41278E-01  3.33154E-02
    8665.138    311.120   9.200  9.90266E-01  9.40289E-01  5.31763E-02
    8668.652    314.635   9.250  1.00809E+00  9.39301E-01  7.32713E-02
    8672.186    318.168   9.300  1.02335E+00  9.38312E-01  9.06806E-02
    8675.739    321.721   9.350  1.03329E+00  9.37323E-01  1.02445E-01
    8679.311    325.293   9.400  1.03573E+00  9.36334E-01  1.06228E-01
    8682.902    328.884   9.450  1.02961E+00  9.35345E-01  1.00859E-01
    8686.512    332.494   9.500  1.01523E+00  9.34356E-01  8.66204E-02
    8690.141    336.123   9.550  9.94225E-01  9.33454E-01  6.51463E-02
    8693.789    339.771   9.600  9.69181E-01  9.32552E-01  3.93006E-02
    8697.456    343.438   9.650  9.43383E-01  9.31650E-01  1.25997E-02
    8701.142    347.124   9.700  9.20012E-01  9.30748E-01 -1.15392E-02
    8704.847    350.830   9.750  9.01541E-01  9.29846E-01 -3.04482E-02
    8708.571    354.554   9.800  8.89301E-01  9.28944E-01 -4.26813E-02
    8712.315    358.297   9.850  8.83301E-01  9.28042E-01 -4.82118E-02
    8716.077    362.059   9.900  8.82337E-01  9.27140E-01 -4.83200E-02
    8719.858    365.841   9.950  8.84363E-01  9.26238E-01 -4.52010E-02
    8723.659    369.641  10.000  8.87028E-01  9.25336E-01 -4.13867E-02
    8727.478    373.461  10.050  8.88216E-01  9.24342E-01 -3.90683E-02
    8731.317    377.299  10.100  8.86574E-01  9.23348E-01 -3.98094E-02
    8735.175    381.157  10.150  8.81827E-01  9.22354E-01 -4.39161E-02
    8739.051    385.034  10.200  8.74934E-01  9.21361E-01 -5.03600E-02
    8742.947    388.929  10.250  8.67873E-01  9.20367E-01 -5.69988E-02
    8746.862    392.844  10.300  8.63180E-01  9.19373E-01 -6.10760E-02
    8750.796    396.778  10.350  8.63332E-01  9.18379E-01 -5.98908E-02
    8754.748    400.731  10.400  8.70109E-01  9.17386E-01 -5.14886E-02
    8758.720    404.703  10.450  8.84089E-01  9.16392E-01 -3.52168E-02
    8762.711    408.694  10.500  9.04386E-01  9.15398E-01 -1.20174E-02
    8766.721    412.704  10.550  9.28703E-01  9.14405E-01  1.56194E-02
    8770.750    416.733  10.600  9.53687E-01  9.13411E-01  4.40418E-02
    8774.798    420.781  10.650  9.75537E-01  9.12417E-01  6.90915E-02
    8778.866    424.848  10.700  9.90729E-01  9.11423E-01  8.68966E-02
    8782.952    428.934  10.750  9.96715E-01  9.10430E-01  9.46402E-02
    8787.057    433.039  10.800  9.92447E-01  9.09436E-01  9.11413E-02
    8791.181    437.164  10.850  9.78617E-01  9.08442E-01  7.71262E-02
    8795.325    441.307  10.900  9.57554E-01  9.07448E-01  5.51257E-02
    8799.487    445.469  10.950  9.32799E-01  9.06455E-01  2.90132E-02
    8803.669    449.651  11.000  9.08430E-01  9.05461E-01  3.27319E-03
    8807.869    453.851  11.050  8.87895E-01  9.04293E-01 -1.80990E-02
    8812.089    458.071  11.100  8.74356E-01  9.03124E-01 -3.17940E-02
    8816.327    462.310  11.150  8.69325E-01  9.01956E-01 -3.61067E-02
    8820.585    466.567  11.200  8.72559E-01  9.00787E-01 -3.12743E-02
    8824.862    470.844  11.250  8.82116E-01  8.99619E-01 -1.94159E-02
    8829.157    475.140  11.300  8.94767E-01  8.98450E-01 -4.09143E-03
    8833.472    479.455  11.350  9.06664E-01  8.97282E-01  1.04330E-02
    8837.806    483.788  11.400  9.14138E-01  8.96114E-01  2.00699E-02
    8842.159    488.141  11.450  9.14469E-01  8.94945E-01  2.17667E-02
    8846.531    492.513  11.500  9.06464E-01  8.93777E-01  1.41628E-02
    8850.922    496.904  11.550  8.90740E-01  8.92608E-01 -2.08860E-03
    8855.332    501.314  11.600  8.69636E-01  8.91440E-01 -2.43996E-02
    8859.761    505.743  11.650  8.46793E-01  8.90271E-01 -4.87167E-02
    8864.209    510.192  11.700  8.26451E-01  8.89103E-01 -7.02886E-02
    8868.676    514.659  11.750  8.12635E-01  8.87935E-01 -8.45846E-02
    8873.163    519.145  11.800  8.08363E-01  8.86766E-01 -8.81817E-02
    8877.668    523.650  11.850  8.15048E-01  8.85598E-01 -7.94500E-02
    8882.192    528.175  11.900  8.32194E-01  8.84429E-01 -5.88995E-02
    8886.736    532.718  11.950  8.57464E-01  8.83261E-01 -2.91244E-02
    8891.298    537.281  12.000  8.87086E-01  8.82092E-01  5.64481E-03
    8895.880    541.862  12.050  9.16751E-01  8.80935E-01  4.05401E-02
    8900.480    546.463  12.100  9.41950E-01  8.79778E-01  7.04635E-02
    8905.100    551.082  12.150  9.58911E-01  8.78620E-01  9.11151E-02
    8909.738    555.721  12.200  9.65265E-01  8.77463E-01  9.97688E-02
    8914.396    560.379  12.250  9.60425E-01  8.76306E-01  9.57080E-02
    8919.073    565.055  12.300  9.45622E-01  8.75149E-01  8.02862E-02
    8923.769    569.751  12.350  9.23619E-01  8.73991E-01  5.66111E-02
    8928.484    574.466  12.400  8.98154E-01  8.72834E-01  2.89209E-02
    8933.217    579.200  12.450  8.73233E-01  8.71677E-01  1.78031E-03
    8937.970    583.953  12.500  8.52403E-01  8.70519E-01 -2.07463E-02
    8942.742    588.725  12.550  8.38152E-01  8.69362E-01 -3.57875E-02
    8947.533    593.516  12.600  8.31539E-01  8.68205E-01 -4.20979E-02
    8952.344    598.326  12.650  8.32115E-01  8.67047E-01 -4.01609E-02
    8957.173    603.155  12.700  8.38131E-01  8.65890E-01 -3.19557E-02
    8962.021    608.003  12.750  8.46990E-01  8.64733E-01 -2.04518E-02
    8966.888    612.871  12.800  8.55828E-01  8.63576E-01 -8.94172E-03
    8971.774    617.757  12.850  8.62114E-01  8.62418E-01 -3.51257E-04
    8976.680    622.662  12.900  8.64143E-01  8.61261E-01  3.33526E-03
    8981.604    627.587  12.950  8.61334E-01  8.60104E-01  1.42623E-03
    8986.548    632.530  13.000  8.54285E-01  8.58946E-01 -5.40841E-03
    8991.510    637.493  13.050  8.44401E-01  8.57689E-01 -1.54412E-02
    8996.492    642.474  13.100  8.34026E-01  8.56432E-01 -2.60747E-02
    9001.492    647.475  13.150  8.25481E-01  8.55174E-01 -3.46065E-02
    9006.512    652.494  13.200  8.20715E-01  8.53917E-01 -3.87532E-02
    9011.551    657.533  13.250  8.20901E-01  8.52660E-01 -3.71231E-02
    9016.608    662.591  13.300  8.26211E-01  8.51402E-01 -2.94899E-02
    9021.685    667.668  13.350  8.35800E-01  8.50145E-01 -1.68179E-02
    9026.781    672.764  13.400  8.47998E-01  8.48888E-01 -1.04446E-03
    9031.896    677.878  13.450  8.60665E-01  8.47630E-01  1.53276E-02
    9037.030    683.012  13.500  8.71621E-01  8.46373E-01  2.97341E-02
    9042.183    688.165  13.550  8.79070E-01  8.45116E-01  4.00462E-02
    9047.355    693.337  13.600  8.81918E-01  8.43858E-01  4.49560E-02
    9052.546    698.529  13.650  8.79948E-01  8.42601E-01  4.41805E-02
    9057.756    703.739  13.700  8.73797E-01  8.41344E-01  3.84487E-02
    9062.985    708.968  13.750  8.64769E-01  8.40086E-01  2.92873E-02
    9068.234    714.216  13.800  8.54531E-01  8.38829E-01  1.86591E-02
    9073.501    719.483  13.850  8.44745E-01  8.37572E-01  8.53740E-03
    9078.787    724.770  13.900  8.36740E-01  8.36314E-01  5.07686E-04
