# comment: None given                          Feff8L (EXAFS)       0.1      
# Source:
# Structure Summary:  Cu1
# Reduced formula:  Cu
# space group: (Fm-3m), space number:  (225)
# abc:  2.529625   2.529625   2.529625
# angles: 60.000000  60.000000  60.000000
# sites: 1
# POT  Non-SCF, core-hole, AFOLP (folp(0)= 1.150)
# Abs   Z=29 Rmt= 1.433 Rnm= 1.488 K  shell
# Pot 1 Z=29 Rmt= 1.359 Rnm= 1.402
# Gam_ch=1.729E+00 H-L exch
# Mu=-3.472E+00 kf=1.806E+00 Vint=-1.591E+01 Rs_int= 2.008
# PATH  Rmax= 4.425,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
#  S02=1.000                                        Global_sig2= 0.00000
#  Curved wave amplitude ratio filter   4.000%
#     file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
#           1       0.00000    100.00     12.00     2   2.5296
#           2       0.00000     23.24      6.00     2   3.5774
#           3       0.00000     12.39     48.00     3   3.7944
#           4       0.00000      9.23     48.00     3   4.3183
#           5       0.00000     56.14     24.00     2   4.3814
#     5/   5 paths used
#  -----------------------------------------------------------------------
#       k          chi          mag           phase @#
     0.0000   -8.496816E-01  8.497103E-01 -1.579007E+00
     0.0500   -8.489418E-01  8.489435E-01 -1.568847E+00
     0.1000   -8.480919E-01  8.481541E-01 -1.558690E+00
     0.1500   -8.449927E-01  8.457425E-01 -1.528687E+00
     0.2000   -8.409510E-01  8.431409E-01 -1.498707E+00
     0.2500   -8.325143E-01  8.386075E-01 -1.450176E+00
     0.3000   -8.217198E-01  8.336085E-01 -1.401706E+00
     0.3500   -8.037998E-01  8.263745E-01 -1.336519E+00
     7.6000    3.076186E-02  3.609144E-02  2.615317E+01
     7.6500    3.763568E-02  4.489360E-02  2.612695E+01
     7.7000    5.006634E-02  5.640803E-02  2.622479E+01
     7.7500    6.571267E-02  6.892446E-02  2.639706E+01
     7.8000    8.125733E-02  8.160189E-02  2.661161E+01
     7.8500    9.297110E-02  9.399388E-02  2.685119E+01
     7.9000    9.735619E-02  1.058299E-01  2.710643E+01
     7.9500    9.176497E-02  1.169261E-01  2.737194E+01
     8.0000    7.489476E-02  1.271464E-01  2.764446E+01
     8.0500    4.687762E-02  1.362358E-01  2.792306E+01
     8.1000    9.959761E-03  1.442344E-01  2.820523E+01
     8.1500   -3.232317E-02  1.510795E-01  2.848995E+01
     8.2000   -7.543468E-02  1.567246E-01  2.877649E+01
     8.2500   -1.144605E-01  1.611377E-01  2.906430E+01
     8.3000   -1.447953E-01  1.643009E-01  2.935290E+01
     8.3500   -1.627893E-01  1.662092E-01  2.964192E+01
     8.4000   -1.662556E-01  1.668707E-01  2.993101E+01
     8.4500   -1.547655E-01  1.663056E-01  3.021985E+01
     8.5000   -1.296891E-01  1.645464E-01  3.050811E+01
     8.5500   -9.378879E-02  1.615432E-01  3.079649E+01
     8.6000   -5.137362E-02  1.574432E-01  3.108354E+01
     8.6500   -7.169786E-03  1.523161E-01  3.136884E+01
     8.7000    3.418366E-02  1.462430E-01  3.165185E+01
     8.7500    6.874276E-02  1.393162E-01  3.193196E+01
     8.8000    9.373414E-02  1.316400E-01  3.220834E+01
     8.8500    1.078323E-01  1.233311E-01  3.247998E+01
     8.9000    1.112071E-01  1.145214E-01  3.274556E+01
     8.9500    1.053457E-01  1.053601E-01  3.300329E+01
     9.0000    9.269047E-02  9.601988E-02  3.325083E+01
     9.0500    7.613687E-02  8.670183E-02  3.348555E+01
     9.1000    5.859708E-02  7.766648E-02  3.370267E+01
     9.1500    4.246725E-02  6.922565E-02  3.389708E+01
     9.2000    2.930172E-02  6.176954E-02  3.406327E+01
     9.2500    1.965240E-02  5.576659E-02  3.419738E+01
     9.3000    1.310179E-02  5.170798E-02  3.430135E+01
     9.3500    8.472657E-03  4.995879E-02  3.438710E+01
     9.4000    4.168305E-03  5.056703E-02  3.447499E+01
     9.4500   -1.423711E-03  5.320232E-02  3.458428E+01
     9.5000   -9.540178E-03  5.730312E-02  3.472478E+01
     9.5500   -2.081397E-02  6.237691E-02  3.489772E+01
     9.6000   -3.490568E-02  6.784670E-02  3.509792E+01
