# comment: None given                          Feff8L (EXAFS)       0.1      
# Source:
# Structure Summary:  Cu1
# Reduced formula:  Cu
# space group: (Fm-3m), space number:  (225)
# abc:  2.529625   2.529625   2.529625
# angles: 60.000000  60.000000  60.000000
# sites: 1
# POT  Non-SCF, core-hole, AFOLP (folp(0)= 1.150)
# Abs   Z=29 Rmt= 1.433 Rnm= 1.488 K  shell
# Pot 1 Z=29 Rmt= 1.359 Rnm= 1.402
# Gam_ch=1.729E+00 H-L exch
# Mu=-3.472E+00 kf=1.806E+00 Vint=-1.591E+01 Rs_int= 2.008
# PATH  Rmax= 4.425,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
#  S02=1.000                                        Global_sig2= 0.00000
#  Curved wave amplitude ratio filter   4.000%
#     file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
#           1       0.00000    100.00     12.00     2   2.5296
#           2       0.00000     23.24      6.00     2   3.5774
#           3       0.00000     12.39     48.00     3   3.7944
#           4       0.00000      9.23     48.00     3   4.3183
#           5       0.00000     56.14     24.00     2   4.3814
#     5/   5 paths used
#  xsedge+50, used to normalize mu           2.4815E-04
#  -----------------------------------------------------------------------
#  omega    e    k    mu    mu0     chi     @#
    9080.005     88.006   4.900  1.09944E+00  1.00492E+00  9.30649E-02
    9081.882     89.882   4.950  1.08095E+00  1.00409E+00  7.57508E-02
    9083.777     91.778   5.000  1.05644E+00  1.00326E+00  5.24646E-02
    9085.692     93.692   5.050  1.02757E+00  1.00229E+00  2.49672E-02
    9087.625     95.626   5.100  9.96593E-01  1.00132E+00 -4.67479E-03
    9089.578     97.579   5.150  9.65842E-01  1.00035E+00 -3.41564E-02
    9091.550     99.550   5.200  9.37574E-01  9.99377E-01 -6.12407E-02
    9093.540    101.541   5.250  9.13668E-01  9.98308E-01 -8.39392E-02
    9095.550    103.551   5.300  8.95519E-01  9.97239E-01 -1.00962E-01
    9097.579    105.579   5.350  8.83727E-01  9.96170E-01 -1.11697E-01
    9099.627    107.627   5.400  8.78185E-01  9.95101E-01 -1.16238E-01
    9101.694    109.694   5.450  8.78567E-01  9.94337E-01 -1.15173E-01
    9103.780    111.780   5.500  8.83349E-01  9.93573E-01 -1.09726E-01
    9105.885    113.885   5.550  8.91244E-01  9.92809E-01 -1.01171E-01
    9108.009    116.009   5.600  9.01070E-01  9.92044E-01 -9.06810E-02
    9110.152    118.152   5.650  9.12400E-01  9.91522E-01 -7.88921E-02
    9112.314    120.315   5.700  9.24433E-01  9.91000E-01 -6.63950E-02
    9114.495    122.496   5.750  9.37302E-01  9.90478E-01 -5.30559E-02
    9116.696    124.696   5.800  9.51572E-01  9.89956E-01 -3.83097E-02
    9118.915    126.915   5.850  9.68338E-01  9.89599E-01 -2.12205E-02
    9121.153    129.154   5.900  9.88089E-01  9.89241E-01 -1.15026E-03
    9123.411    131.411   5.950  1.01128E+00  9.88884E-01  2.23598E-02
    9125.687    133.688   6.000  1.03779E+00  9.88527E-01  4.91782E-02
    9127.983    135.983   6.050  1.06711E+00  9.88493E-01  7.84637E-02
    9130.297    138.298   6.100  1.09693E+00  9.88460E-01  1.08241E-01
    9132.631    140.631   6.150  1.12471E+00  9.88427E-01  1.35978E-01
    9134.983    142.984   6.200  1.14746E+00  9.88394E-01  1.58677E-01
    9137.355    145.356   6.250  1.16207E+00  9.88360E-01  1.73257E-01
    9139.746    147.746   6.300  1.16583E+00  9.88327E-01  1.77005E-01
