Ritsumeikan University SR Center BL-10
18121210.dat
2018/12/12,17:14:20,17:32:54
コメント:,CaCO3
分光結晶:,Si(220), 2d= 0.384 nm
測定モード:,PhotonEnergy
ブロック数:,8
全測定点数:,246
 ,BorderAngle,BorderPE,DivNum,Step,Waiting(sec),Dwell(sec)
Block 0,53.82217,4000
Block 1,53.43417,4020,10,2,1,3
Block 2,53.33832,4025,10,0.5,1,3
Block 3,52.94064,4046,105,0.2,1,3
Block 4,52.79118,4054,25,0.32,1,3
Block 5,52.42229,4074,40,0.5,1,3
Block 6,51.95261,4100,20,1.3,1,3
Block 7,51.42392,4130,15,2,1,3
Block 8,50.24188,4200,20,3.5,1,3

Calculatedθ(deg.),Observedθ(deg.),hν(eV),Io(cps), SDD1(cps),SDD2(cps),SDD3(cps),TEY(cps),PEY(cps),Transmission(cps),RingCurrent(mA)
52.39855, 52.39917, 4075.27, 2185, 43623.67, 33460.67, 51802.33, 1792, 0, 0, 75.039
52.37483, 52.37528, 4076.58, 2180.667, 44565, 34229, 52896.67, 1822.333, 0, 0, 75.00667
52.35114, 52.35139, 4077.89, 2173, 45349.33, 34737, 53947.33, 1856, 0, 0, 75.00433
52.32748, 52.32778, 4079.18, 2169.333, 45825.67, 35114.67, 54445.33, 1881, 0, 0, 75.04467
52.30384, 52.30416, 4080.48, 2165.333, 46367.67, 35556, 55038, 1896.667, 0, 0, 75.04134
52.28024, 52.28056, 4081.78, 2160.667, 46739.33, 35860.67, 55477, 1905.333, 0, 0, 75.01067
52.25665, 52.25722, 4083.07, 2154.333, 46955, 36031, 55643, 1905.667, 0, 0, 75.03633
52.23310, 52.23361, 4084.37, 2150.667, 46552.67, 35781.33, 55271, 1897.333, 0, 0, 74.87233
52.20958, 52.21000, 4085.68, 2145, 45949.33, 35285.67, 54461, 1879.333, 0, 0, 74.97166
52.18608, 52.18667, 4086.97, 2141, 45447, 34947.33, 53981, 1862.333, 0, 0, 74.897
52.16261, 52.16306, 4088.28, 2136.333, 45334, 34709.33, 53799.33, 1851.333, 0, 0, 74.81233
52.13917, 52.13945, 4089.59, 2130, 45625, 35147.67, 54154.33, 1849, 0, 0, 75.008
52.11576, 52.11639, 4090.87, 2125.333, 45445.67, 34936, 53910.33, 1848, 0, 0, 74.805
52.09237, 52.09278, 4092.18, 2120.333, 45318.67, 34878, 53758, 1845.333, 0, 0, 75.03733
52.06900, 52.06917, 4093.49, 2107.667, 45088, 34669.33, 53481.33, 1827.667, 0, 0, 74.97967
52.04567, 52.04583, 4094.79, 2091.667, 44374.67, 34022.67, 52623.67, 1796.333, 0, 0, 74.84834
52.02236, 52.02278, 4096.08, 2087, 43185.33, 33164.33, 51322.67, 1762.667, 0, 0, 74.796
51.99909, 51.99944, 4097.38, 2082.667, 42469.33, 32561.33, 50399.67, 1722.333, 0, 0, 74.954
51.97583, 51.97639, 4098.67, 2077.667, 41369.33, 31696.67, 48993, 1683.667, 0, 0, 75.01867
51.95261, 51.95278, 4099.99, 2070.667, 40190.67, 30865, 47750.33, 1650.667, 0, 0, 74.97134
51.91692, 51.91750, 4101.97, 2055.333, 39674.33, 30493.33, 47100.67, 1616.667, 0, 0, 74.95233
51.88131, 51.88194, 4103.96, 2043.667, 39186.33, 30197, 46571.67, 1597.333, 0, 0, 74.83234
51.84575, 51.84639, 4105.96, 2045.333, 39291, 30163, 46475, 1601.667, 0, 0, 74.83933
51.81026, 51.81083, 4107.97, 2069, 39905.67, 30738.33, 47312, 1629, 0, 0, 74.845
51.77483, 51.77500, 4109.99, 2053, 40004.33, 30770, 47471.67, 1628.333, 0, 0, 74.87733
51.73946, 51.73972, 4111.99, 2038, 39964.67, 30646, 47422, 1624.333, 0, 0, 74.92233
51.70415, 51.70444, 4113.98, 2023.667, 39564.67, 30375, 46993, 1616.667, 0, 0, 74.89333
51.66891, 51.66917, 4115.99, 2009, 39550.67, 30352.33, 46898.33, 1608.667, 0, 0, 74.962
51.63373, 51.63417, 4117.98, 1990.333, 39572.67, 30335, 46846.33, 1600.667, 0, 0, 74.94633
51.59861, 51.59889, 4119.98, 2021.667, 40174.33, 30828.67, 47690.33, 1624.667, 0, 0, 74.95033
51.56355, 51.56417, 4121.97, 2033, 40385.67, 31014.67, 47879, 1639.333, 0, 0, 74.911
