  9809     SPring-8 14b2 
 Co-K_Co-foil_S  14.06.17 08:08 - 14.06.17 08:10
 Co-foil                                                                         
 Ring :   8.0 GeV    99.5 mA -   99.5 mA
 Mono :   SI(311)       D=  1.63747 A    Initial angle= 31.10606 deg
 14b2      Transmission( 2)   Repetition=  1     Points= 4501
 Param file :                 angle axis (1)     Block =    1

 Block      Init-ang  final-ang     Step/deg     Time/s       Num
     1       31.00000  24.20000    -0.001510       0.03      4501
 Ortec( 0)     NDCH = 3
  Angle(c)  Angle(o)    time/s         2         3
      Mode         0         0         1         2
    Offset         0         0   354.100   118.600
  30.33258  30.33030     0.030     10906      2524
  30.33107  30.32888     0.030     10911      2523
  30.32956  30.32727     0.030     10915      2529
  30.32805  30.32557     0.030     10923      2527
  30.32654  30.32396     0.030     10900      2525
  30.32503  30.32247     0.030     10936      2531
  30.32352  30.32111     0.030     10912      2527
  30.32201  30.31978     0.030     10946      2536
  30.32050  30.31827     0.030     10928      2529
  30.31899  30.31661     0.030     10944      2533
  30.31748  30.31493     0.030     10951      2537
  30.31597  30.31334     0.030     10935      2533
  30.31446  30.31190     0.030     10977      2542
  30.31295  30.31056     0.030     10949      2540
  30.31144  30.30917     0.030     10966      2544
  30.30993  30.30758     0.030     10966      2542
  30.30842  30.30588     0.030     10967      2544
  30.30691  30.30424     0.030     11000      2552
  30.30540  30.30270     0.030     10966      2545
  30.30389  30.30132     0.030     11004      2554
  30.30238  30.30000     0.030     10993      2551
  30.30087  30.29852     0.030     11004      2555
  30.29936  30.29688     0.030     11014      2556
  30.29785  30.29519     0.030     11006      2555
  30.29634  30.29359     0.030     11035      2562
  30.29483  30.29214     0.030     11013      2559
  30.29332  30.29079     0.030     11021      2562
  30.29181  30.28943     0.030     11025      2564
  30.29030  30.28787     0.030     11030      2564
  30.28879  30.28617     0.030     11064      2571
  30.28728  30.28453     0.030     11062      2569
  30.28577  30.28297     0.030     11076      2575
  30.28426  30.28157     0.030     11057      2572
  30.28275  30.28023     0.030     11062      2573
  30.28124  30.27879     0.030     11064      2577
  30.27973  30.27718     0.030     11058      2577
  30.27822  30.27547     0.030     11091      2583
  30.27671  30.27385     0.030     11076      2579
  30.27520  30.27237     0.030     11112      2587
  30.27369  30.27101     0.030     11092      2583
  30.27218  30.26968     0.030     11098      2585
  30.27067  30.26816     0.030     11110      2588
  30.26916  30.26650     0.030     11106      2588
  30.26765  30.26484     0.030     11122      2593
  30.26614  30.26326     0.030     11123      2592
  30.26463  30.26184     0.030     11143      2598
  30.26312  30.26050     0.030     11175      2606
  30.26161  30.25910     0.030     11133      2599
  30.26010  30.25751     0.030     11151      2603
  30.25859  30.25581     0.030     11153      2603
  30.25708  30.25417     0.030     11172      2608
  30.25557  30.25265     0.030     11148      2604
  30.25406  30.25127     0.030     11165      2608
  30.25255  30.24994     0.030     11192      2612
  30.25104  30.24845     0.030     11175      2609
  30.24953  30.24680     0.030     11202      2617
  30.24802  30.24512     0.030     11178      2612
  30.24651  30.24352     0.030     11234      2620
  30.24500  30.24208     0.030     11204      2619
  30.24349  30.24073     0.030     11216      2621
  30.24198  30.23938     0.030     11235      2626
  30.24047  30.23782     0.030     11216      2620
  30.23896  30.23613     0.030     11245      2631
  30.23745  30.23448     0.030     11226      2626
  30.23594  30.23292     0.030     11237      2628
  30.23443  30.23153     0.030     11242      2632
  30.23292  30.23020     0.030     11232      2631
  30.23141  30.22876     0.030     11276      2640
  30.22990  30.22714     0.030     11254      2636
  30.22839  30.22543     0.030     11273      2638
  30.22688  30.22381     0.030     11264      2639
  30.22537  30.22233     0.030     11281      2640
  30.22386  30.22097     0.030     11300      2650
  30.22235  30.21963     0.030     11268      2641
  30.22084  30.21809     0.030     11301      2649
  30.21933  30.21642     0.030     11295      2647
  30.21782  30.21477     0.030     11302      2647
  30.21631  30.21320     0.030     11315      2652
  30.21480  30.21178     0.030     11311      2653
  30.21329  30.21046     0.030     11329      2657
  30.21178  30.20906     0.030     11328      2656
  30.21027  30.20748     0.030     11353      2665
  30.20876  30.20577     0.030     11324      2660
  30.20725  30.20415     0.030     11331      2661
  30.20574  30.20263     0.030     11350      2665
  30.20423  30.20126     0.030     11334      2663
  30.20272  30.19993     0.030     11362      2670
  30.20121  30.19844     0.030     11363      2668
  30.19970  30.19680     0.030     11389      2676
  30.19819  30.19511     0.030     11377      2672
  30.19668  30.19351     0.030     11372      2672
  30.19517  30.19206     0.030     11392      2679
  30.19366  30.19072     0.030     11385      2678
  30.19215  30.18935     0.030     11405      2683
  30.19064  30.18779     0.030     11400      2683
  30.18913  30.18611     0.030     11419      2688
  30.18762  30.18448     0.030     11416      2689
  30.18611  30.18293     0.030     11422      2687
  30.18460  30.18155     0.030     11426      2693
  30.18309  30.18022     0.030     11413      2688
  30.18158  30.17878     0.030     11444      2697
  30.18007  30.17717     0.030     11445      2695
  30.17856  30.17547     0.030     11453      2696
  30.17705  30.17386     0.030     11470      2701
  30.17554  30.17237     0.030     11456      2699
  30.17403  30.17101     0.030     11493      2709
  30.17252  30.16968     0.030     11483      2705
  30.17101  30.16815     0.030     11484      2707
  30.16950  30.16647     0.030     11492      2711
  30.16799  30.16481     0.030     11495      2710
  30.16648  30.16323     0.030     11535      2719
  30.16497  30.16181     0.030     11495      2711
  30.16346  30.16048     0.030     11520      2720
  30.16195  30.15909     0.030     11515      2718
  30.16044  30.15751     0.030     11526      2718
  30.15893  30.15581     0.030     11554      2727
  30.15742  30.15419     0.030     11518      2723
  30.15591  30.15267     0.030     11580      2733
  30.15440  30.15130     0.030     11520      2721
  30.15289  30.14997     0.030     11552      2732
  30.15138  30.14848     0.030     11563      2732
  30.14987  30.14685     0.030     11557      2734
  30.14836  30.14516     0.030     11577      2739
