  9809     SPring-8 14b2 
 Fe-K_Fe3N_Si11  12.11.17 12:54 - 12.11.17 12:58
 Fe3N                                                                            
 Ring :   8.0 GeV    99.5 mA -   99.5 mA
 Mono :   SI(111)       D=  3.13551 A    Initial angle= 17.09994 deg
 14b2      Transmission( 2)   Repetition=  1     Points= 4522
 Param file :                 angle axis (1)     Block =    1

 Block      Init-ang  final-ang     Step/deg     Time/s       Num
     1       17.00000  13.20000    -0.000840       0.05      4522
 Ortec( 0)     NDCH = 3
  Angle(c)  Angle(o)    time/s         2         3
      Mode         0         0         1         2
    Offset         0         0   481.200   358.400
  16.77572  16.78112     0.051     11716      7430
  16.77488  16.78039     0.051     11733      7437
  16.77404  16.77970     0.051     11723      7434
  16.77320  16.77897     0.051     11732      7442
  16.77236  16.77822     0.051     11733      7446
  16.77152  16.77743     0.051     11726      7445
  16.77068  16.77652     0.051     11738      7456
  16.76984  16.77561     0.051     11729      7450
  16.76900  16.77472     0.051     11738      7461
  16.76816  16.77381     0.051     11733      7460
  16.76732  16.77293     0.051     11742      7469
  16.76648  16.77211     0.051     11738      7471
  16.76564  16.77130     0.051     11737      7471
  16.76480  16.77055     0.051     11747      7479
  16.76396  16.76986     0.051     11740      7477
  16.76312  16.76914     0.051     11749      7486
  16.76228  16.76840     0.051     11743      7484
  16.76144  16.76763     0.051     11753      7491
  16.76060  16.76674     0.051     11750      7493
  16.75976  16.76582     0.051     11745      7498
  16.75892  16.76493     0.051     11757      7503
  16.75808  16.76401     0.051     11744      7502
  16.75724  16.76312     0.051     11761      7512
  16.75640  16.76229     0.051     11755      7510
  16.75556  16.76147     0.051     11762      7518
  16.75472  16.76070     0.051     11758      7517
  16.75388  16.76000     0.051     11751      7520
  16.75304  16.75928     0.051     11768      7528
  16.75220  16.75853     0.051     11756      7527
  16.75136  16.75777     0.051     11775      7537
  16.75052  16.75691     0.051     11760      7534
  16.74968  16.75599     0.051     11766      7542
  16.74884  16.75510     0.051     11768      7548
  16.74800  16.75419     0.051     11764      7546
  16.74716  16.75329     0.051     11777      7555
  16.74632  16.75245     0.051     11769      7551
  16.74548  16.75163     0.051     11778      7560
  16.74464  16.75085     0.051     11773      7559
  16.74380  16.75014     0.051     11778      7567
  16.74296  16.74944     0.051     11783      7573
  16.74212  16.74870     0.051     11783      7576
  16.74128  16.74794     0.051     11784      7581
  16.74044  16.74710     0.051     11775      7577
  16.73960  16.74618     0.051     11789      7588
  16.73876  16.74528     0.051     11786      7584
  16.73792  16.74437     0.051     11790      7592
  16.73708  16.74346     0.051     11793      7595
  16.73624  16.74261     0.051     11789      7596
