   9809     AichiSR  BL5S1
 Ref Ti4O7       22.09.16 10:16 - 22.09.16 10:18
                                                                                 
 Ring :   1.2 GeV   300.2 mA -  300.3 mA
 Mono :   Si(111)       D=  3.13553 A    Initial angle= 23.66393 deg
 BL5S1    Transmission ( 2)   Repetition=  1     Points= 4632
 Param file : DUMMYNAME.prm   energy axis (2)    Block =     1

 Block      Init-Eng  final-Eng     Step/eV     Time/s       Num
     1        4665.33   6065.33        0.30       0.02      4634
 ORTEC( 0)     NDCH = 4
  Angle(c)  Angle(o)    time/s         1         2         3
      Mode         0         0         1         2         2
    Offset         0         0  4466.100 10608.300 72342.100
  24.73808  24.73873    0.0234   6297584   1247972    655924
  24.73678  24.73743    0.0234   6303404   1252752    644257
  24.73547  24.73610    0.0234   6314314   1253852    643768
  24.73417  24.73474    0.0234   6316314   1256742    637113
  24.73286  24.73343    0.0234   6321164   1260122    638729
  24.73156  24.73217    0.0234   6324624   1257552    643037
  24.73025  24.73086    0.0234   6330664   1262122    651885
  24.72894  24.72954    0.0234   6332544   1262242    656462
  24.72764  24.72823    0.0234   6336854   1265282    654924
  24.72633  24.72691    0.0234   6337774   1268242    658655
  24.72503  24.72557    0.0234   6337484   1269562    654567
  24.72372  24.72424    0.0234   6339284   1269782    661540
  24.72242  24.72296    0.0234   6338704   1272322    653924
  24.72111  24.72169    0.0234   6338744   1273012    652423
  24.71981  24.72038    0.0234   6336514   1274012    648577
  24.71850  24.71907    0.0234   6338284   1273362    658847
  24.71719  24.71777    0.0234   6334814   1272512    660886
  24.71589  24.71646    0.0234   6331704   1274742    658655
  24.71458  24.71511    0.0234   6332854   1275432    659501
  24.71328  24.71380    0.0234   6328044   1277592    667310
  24.71197  24.71254    0.0234   6331214   1279752    650797
  24.71067  24.71125    0.0234   6328204   1278132    663040
  24.70936  24.70994    0.0234   6332314   1279282    660655
  24.70806  24.70863    0.0234   6325704   1277242    660232
  24.70675  24.70731    0.0234   6323314   1281282    662617
  24.70544  24.70598    0.0234   6325354   1282552    670618
  24.70414  24.70463    0.0234   6319504   1283552    658886
  24.70283  24.70333    0.0234   6315624   1281432    667118
  24.70153  24.70206    0.0234   6310394   1284242    667964
  24.70022  24.70075    0.0234   6308594   1283252    667877
  24.69892  24.69943    0.0234   6298354   1281672    676042
  24.69761  24.69812    0.0234   6294584   1283512    667541
  24.69631  24.69681    0.0234   6292964   1282742    667656
  24.69500  24.69546    0.0234   6290924   1285862    663079
  24.69369  24.69413    0.0234   6292504   1286672    668618
  24.69239  24.69286    0.0234   6298694   1287742    669311
  24.69108  24.69159    0.0234   6313394   1291012    673734
  24.68978  24.69027    0.0234   6325934   1297132    675812
  24.68847  24.68897    0.0234   6337254   1299912    679610
  24.68717  24.68767    0.0234   6346784   1302442    686044
  24.68586  24.68635    0.0234   6354094   1305092    679312
  24.68456  24.68500    0.0234   6359664   1308322    690352
  24.68325  24.68370    0.0234   6367894   1311132    683274
  24.68194  24.68244    0.0234   6369134   1310252    684082
  24.68064  24.68114    0.0234   6374634   1315592    679428
  24.67933  24.67982    0.0234   6379324   1316592    684197
  24.67803  24.67851    0.0234   6382364   1318862    677850
  24.67672  24.67720    0.0234   6382604   1319922    692844
  24.67542  24.67586    0.0234   6387284   1321362    700123
  24.67411  24.67451    0.0234   6386474   1324062    699123
  24.67281  24.67322    0.0234   6386944   1321022    695391
  24.67150  24.67195    0.0234   6385324   1325442    693853
  24.67019  24.67064    0.0234   6386514   1326902    694661
  24.66889  24.66932    0.0234   6381554   1325332    711663
  24.66758  24.66802    0.0234   6379634   1327672    692122
  24.66628  24.66671    0.0234   6379704   1327672    708470
  24.66497  24.66537    0.0234   6379104   1327882    699768
  24.66367  24.66404    0.0234   6377434   1329902    696969
  24.66236  24.66278    0.0234   6376204   1329902    692083
  24.66106  24.66150    0.0234   6376824   1329712    710932
  24.65975  24.66019    0.0234   6375514   1333402    701508
  24.65844  24.65888    0.0234   6374404   1330102    704239
  24.65714  24.65759    0.0234   6374094   1333332    705393
  24.65583  24.65627    0.0234   6371784   1334752    696392
  24.65453  24.65493    0.0234   6368134   1332642    699238
  24.65322  24.65362    0.0234   6364634   1334292    709932
  24.65192  24.65235    0.0234   6361524   1335692    709424
  24.65061  24.65104    0.0234   6353974   1336212    709548
  24.64931  24.64972    0.0234   6347434   1336942    716395
  24.64800  24.64842    0.0234   6342014   1336022    705047
  24.64669  24.64711    0.0234   6341934   1336142    710509
  24.64539  24.64577    0.0234   6340084   1338442    699200
  24.64408  24.64442    0.0234   6337354   1338832    699046
  24.64278  24.64314    0.0234   6339124   1339912    708278
  24.64147  24.64187    0.0234   6356164   1344832    714702
  24.64017  24.64056    0.0234   6369524   1348042    724042
  24.63886  24.63925    0.0234   6378704   1353292    716818
  24.63756  24.63795    0.0234   6387634   1355332    720665
  24.63625  24.63664    0.0234   6397284   1358642    721819
  24.63494  24.63530    0.0234   6404754   1360142    725973
  24.63364  24.63398    0.0234   6408064   1362102    722011
  24.63233  24.63272    0.0234   6413094   1364022    738360
  24.63103  24.63144    0.0234   6418104   1366222    736629
  24.62972  24.63013    0.0234   6421714   1369452    729935
  24.62842  24.62883    0.0234   6427044   1370662    721503
  24.62711  24.62753    0.0234   6426904   1372062    717010
  24.62581  24.62621    0.0234   6430064   1374062    723704
  24.62450  24.62486    0.0234   6429374   1373872    748592
  24.62319  24.62355    0.0234   6432714   1375762    730166
  24.62189  24.62228    0.0234   6430104   1377802    736090
  24.62058  24.62098    0.0234   6431754   1380142    741937
  24.61928  24.61966    0.0234   6429174   1378492    738475
  24.61797  24.61835    0.0234   6427254   1379832    735821
  24.61667  24.61704    0.0234   6427884   1379392    744084
  24.61536  24.61571    0.0234   6426174   1384342    731128
  24.61406  24.61437    0.0234   6428524   1384302    741822
  24.61275  24.61309    0.0234   6423834   1384642    740206
  24.61144  24.61181    0.0234   6424794   1386032    737013
  24.61014  24.61051    0.0234   6424634   1388142    746822
  24.60883  24.60921    0.0234   6423374   1388032    752246
  24.60753  24.60791    0.0234   6417834   1386342    742899
  24.60622  24.60659    0.0234   6417984   1388612    745938
  24.60492  24.60525    0.0234   6415134   1390262    740245
  24.60361  24.60394    0.0234   6409884   1389662    742276
  24.60231  24.60267    0.0234   6402174   1387032    747284
  24.60100  24.60140    0.0234   6399524   1390572    753362
  24.59969  24.60009    0.0234   6396904   1393302    752631
  24.59839  24.59878    0.0234   6385404   1391072    756478
  24.59708  24.59748    0.0234   6382134   1390572    748361
  24.59578  24.59615    0.0234   6382324   1391572    749477
  24.59447  24.59480    0.0234   6381174   1391142    743476
  24.59317  24.59350    0.0234   6379634   1392182    748823
  24.59186  24.59223    0.0234   6388144   1395282    753355
  24.59056  24.59092    0.0234   6406554   1399842    766095
  24.58925  24.58961    0.0234   6416444   1403762    760748
  24.58794  24.58830    0.0234   6427794   1408842    773134
  24.58664  24.58699    0.0234   6437374   1412112    762940
  24.58533  24.58566    0.0234   6444294   1414722    758017
  24.58403  24.58432    0.0234   6450794   1415262    766672
  24.58272  24.58305    0.0234   6457604   1416992    756401
  24.58142  24.58178    0.0234   6461494   1421072    771249
  24.58011  24.58047    0.0234   6464624   1423132    784592
  24.57881  24.57916    0.0234   6468874   1425532    769287
  24.57750  24.57786    0.0234   6471834   1428612    775481
  24.57619  24.57655    0.0234   6470914   1427692    781174
  24.57489  24.57521    0.0234   6473104   1428802    776827
  24.57358  24.57390    0.0234   6476034   1429692    769518
  24.57228  24.57264    0.0234   6474534   1430692    776943
  24.57097  24.57136    0.0234   6473684   1432802    774327
  24.56967  24.57005    0.0234   6475494   1435232    787675
  24.56836  24.56874    0.0234   6473814   1435322    785515
  24.56706  24.56743    0.0234   6472224   1437922    772980
  24.56575  24.56610    0.0234   6471494   1439572    784136
  24.56444  24.56475    0.0234   6471874   1435272    789406
  24.56314  24.56345    0.0234   6467494   1439192    784751
  24.56183  24.56218    0.0234   6467954   1439692    780635
  24.56053  24.56088    0.0234   6467764   1441312    787675
  24.55922  24.55956    0.0234   6466564   1442382    792945
  24.55792  24.55826    0.0234   6465224   1440922    798677
  24.55661  24.55695    0.0234   6463624   1446522    797171
  24.55531  24.55561    0.0234   6459454   1445192    783867
  24.55400  24.55428    0.0234   6456914   1445042    784444
  24.55269  24.55302    0.0234   6453374   1446152    786675
  24.55139  24.55174    0.0234   6450294   1447082    792830
  24.55008  24.55044    0.0234   6442214   1447192    789252
  24.54878  24.54914    0.0234   6439604   1444812    791983
  24.54747  24.54784    0.0234   6432604   1444342    791483
  24.54617  24.54653    0.0234   6431604   1446422    797446
  24.54486  24.54519    0.0234   6430104   1447962    781866
  24.54356  24.54388    0.0234   6429384   1448322    791824
  24.54225  24.54261    0.0234   6432214   1451502    804293
  24.54094  24.54132    0.0234   6445564   1452812    805408
  24.53964  24.54000    0.0234   6463914   1458852    813871
  24.53833  24.53869    0.0234   6471414   1462162    801562
  24.53703  24.53738    0.0234   6481344   1465622    810255
  24.53572  24.53606    0.0234   6491144   1468622    811602
  24.53442  24.53471    0.0234   6499804   1474232    804793
  24.53311  24.53341    0.0234   6504494   1474462    809409
  24.53181  24.53214    0.0234   6510444   1477332    808058
  24.53050  24.53084    0.0234   6514304   1479202    810525
  24.52919  24.52953    0.0234   6519614   1480772    811794
  24.52789  24.52823    0.0234   6523274   1484432    818487
  24.52658  24.52693    0.0234   6524884   1485972    817333
  24.52528  24.52559    0.0234   6528384   1486202    826989
  24.52397  24.52426    0.0234   6527804   1488272    826835
  24.52267  24.52299    0.0234   6532844   1490582    819834
  24.52136  24.52172    0.0234   6530114   1493972    811140
  24.52006  24.52041    0.0234   6528254   1492332    813867
  24.51875  24.51911    0.0234   6526344   1493122    830720
  24.51744  24.51782    0.0234   6526694   1496082    826873
  24.51614  24.51651    0.0234   6525234   1496282    835221
  24.51483  24.51517    0.0234   6521504   1494782    831105
  24.51353  24.51385    0.0234   6522534   1498552    836875
  24.51222  24.51258    0.0234   6520004   1498582    833682
  24.51092  24.51128    0.0234   6519344   1496432    832259
  24.50961  24.50997    0.0234   6516574   1500392    832066
  24.50831  24.50866    0.0234   6517014   1501532    831409
  24.50700  24.50735    0.0234   6514694   1501662    837760
  24.50569  24.50602    0.0234   6512574   1500782    834067
  24.50439  24.50468    0.0234   6511994   1503512    843453
  24.50308  24.50338    0.0234   6509424   1504082    834605
  24.50178  24.50211    0.0234   6500724   1503282    842453
  24.50047  24.50081    0.0234   6498994   1505662    838260
  24.49917  24.49950    0.0234   6492264   1503892    839183
  24.49786  24.49820    0.0234   6488074   1504932    852416
  24.49656  24.49690    0.0234   6481374   1503392    846069
  24.49525  24.49556    0.0234   6480514   1503602    840295
  24.49394  24.49423    0.0234   6482344   1507822    840068
  24.49264  24.49297    0.0234   6478874   1509622    845338
  24.49133  24.49170    0.0234   6487224   1511702    860186
  24.49003  24.49039    0.0234   6505574   1516622    836952
  24.48872  24.48909    0.0234   6514654   1521132    855801
  24.48742  24.48780    0.0234   6525034   1524592    857032
  24.48611  24.48648    0.0234   6534504   1526662    857263
  24.48481  24.48513    0.0234   6541214   1530342    849989
  24.48350  24.48381    0.0234   6543384   1530242    851108
  24.48219  24.48254    0.0234   6551544   1535132    850223
  24.48089  24.48124    0.0234   6557854   1537592    864533
  24.47958  24.47993    0.0234   6558854   1539472    870534
  24.47828  24.47862    0.0234   6562894   1540552    868457
  24.47697  24.47732    0.0234   6569044   1541512    863533
  24.47567  24.47599    0.0234   6570084   1546212    864110
  24.47436  24.47465    0.0234   6570734   1546482    866149
  24.47306  24.47336    0.0234   6574124   1549012    872996
  24.47175  24.47209    0.0234   6575414   1551462    873109
  24.47044  24.47079    0.0234   6570234   1552282    872419
  24.46914  24.46949    0.0234   6574204   1555982    871111
  24.46783  24.46819    0.0234   6571854   1555052    872303
  24.46653  24.46689    0.0234   6566624   1555092    879920
  24.46522  24.46556    0.0234   6564234   1556092    873573
  24.46392  24.46423    0.0234   6567854   1554822    864879
  24.46261  24.46296    0.0234   6565584   1557292    876265
  24.46131  24.46169    0.0234   6566044   1560822    877381
  24.46000  24.46038    0.0234   6564144   1560812    886458
  24.45869  24.45907    0.0234   6564234   1561552    881536
  24.45739  24.45777    0.0234   6561894   1561402    890422
